,gender,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E_Tot,N_Tot,A_Tot,C_Tot,O_Tot
36,1,1,1,2,1,2,4,2,3,4,1,5,4,2,2,4,4,4,4,4,2,5,5,2,5,4,5,4,5,5,1,5,5,5,1,2,4,5,4,2,5,5,2,5,5,5,5,5,5,2,5,21,35,41,38,44
37,2,2,3,3,3,4,5,1,3,1,3,4,4,3,2,3,4,2,3,4,2,5,4,5,4,5,4,4,4,4,5,4,5,4,3,2,4,3,4,4,3,5,5,5,5,4,5,4,4,4,5,28,31,44,36,46
38,1,2,2,2,2,2,3,3,2,2,1,3,4,3,3,3,4,4,5,3,4,2,3,4,3,4,3,3,2,3,2,3,1,3,2,1,1,2,3,2,4,5,5,3,5,5,4,4,5,5,4,21,36,29,22,45
39,2,1,4,2,2,2,4,1,2,2,1,3,4,1,3,2,4,3,4,3,4,5,4,4,4,4,4,5,4,4,3,4,4,5,4,5,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,21,31,41,41,39
40,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,46,50,18,42,50
41,2,4,4,3,3,3,4,5,3,5,1,1,2,1,4,1,1,1,3,1,4,4,5,4,4,4,5,4,5,3,3,4,5,4,1,5,4,5,5,4,3,2,4,1,5,3,5,4,4,5,2,35,19,41,40,35
42,2,2,3,2,2,2,4,2,2,3,1,3,3,2,3,2,3,2,4,2,3,3,3,4,4,3,4,3,3,3,3,4,4,5,3,2,3,4,3,2,3,3,3,4,3,4,4,4,2,4,5,23,27,33,33,36
43,2,3,5,5,5,5,5,5,5,5,5,4,2,1,1,1,2,1,2,1,1,5,5,1,5,1,4,5,4,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,5,5,5,2,5,5,48,16,40,48,43
44,2,1,3,4,1,3,3,3,1,1,1,2,2,1,3,2,1,2,2,3,2,5,5,5,5,5,5,5,5,5,5,5,2,4,3,2,2,3,4,4,4,4,3,5,2,3,5,5,4,5,2,21,20,50,33,38
45,2,4,4,4,3,5,4,5,4,5,3,1,2,2,2,2,3,3,3,3,2,5,4,4,4,4,3,5,3,5,4,5,3,3,3,4,3,5,5,5,5,5,4,4,4,5,5,4,4,4,5,41,23,41,41,44
46,1,1,1,2,1,2,3,1,2,2,1,3,4,3,3,4,4,4,4,2,3,2,3,2,2,3,2,2,3,3,3,3,3,4,4,2,3,3,3,2,4,4,3,5,3,3,4,3,3,4,3,16,34,25,31,35
